application_mode,daytime_evening_attendance_t,application_order,previous_qualification,previous_qualification_grade,admission_grade
17,1,5,1,122.0,127.3
15,1,1,1,160.0,142.5
1,1,5,1,122.0,124.8
17,1,2,1,122.0,119.6
39,0,1,1,100.0,141.5
39,0,1,19,133.1,114.8
1,1,1,1,142.0,128.4
18,1,4,1,119.0,113.1
1,1,3,1,137.0,129.3
1,1,1,1,138.0,123.0
1,1,1,1,139.0,130.6
1,1,1,1,136.0,119.3
1,1,2,1,133.0,130.2
53,1,1,42,110.0,111.8
1,1,1,1,149.0,137.1
1,1,1,1,127.0,120.7
18,1,1,1,137.0,137.4
17,1,2,1,135.0,127.3
1,1,1,1,137.0,136.3
1,1,1,1,140.0,124.6
1,1,3,1,122.0,120.3
18,1,4,1,127.0,121.8
1,1,4,1,142.0,125.5
1,1,4,1,125.0,114.9
1,1,1,1,126.0,123.9
1,1,1,1,151.0,157.0
17,1,2,1,115.0,116.4
1,1,1,1,138.0,131.0
1,1,1,1,135.0,122.1
17,1,2,1,127.0,118.8
44,1,1,39,150.0,150.0
51,1,1,1,125.0,130.0
1,1,1,1,143.0,138.8
18,0,1,1,138.0,134.5
1,0,1,1,130.0,131.4
39,1,1,1,130.0,102.5
39,1,1,10,133.1,128.8
43,1,1,1,140.0,122.9
39,0,1,1,120.0,113.9
44,1,1,39,120.0,120.0
1,1,5,1,126.0,121.1
1,1,2,1,133.0,120.4
1,1,6,1,103.0,100.6
17,1,1,1,120.0,121.4
39,0,1,1,133.1,109.7
17,0,1,1,154.0,134.1
17,1,2,1,130.0,127.6
17,1,6,1,132.0,132.4
44,0,1,39,130.0,133.4
1,1,1,1,139.0,126.1
39,1,1,1,130.0,113.5
1,1,1,1,139.0,121.3
1,1,1,1,127.0,121.8
1,1,3,1,167.0,159.3
39,0,1,1,130.0,120.0
1,1,1,1,130.0,129.1
7,1,1,3,130.0,130.0
39,1,1,40,129.0,155.3
17,1,1,1,141.0,139.8
1,1,3,1,125.0,115.2
1,1,2,1,125.0,114.9
44,1,1,39,130.0,131.9
17,1,3,1,133.0,126.0
17,1,1,1,127.0,130.2
43,1,1,1,116.0,120.9
42,1,1,19,133.1,126.0
1,1,3,1,139.0,128.2
44,1,1,39,130.0,130.0
1,1,3,1,125.0,120.1
39,1,1,1,160.0,100.0
17,1,1,1,148.0,134.0
17,1,1,1,150.0,130.8
1,1,1,1,141.0,135.8
17,1,4,1,118.0,111.7
1,1,2,1,142.0,132.9
17,1,3,1,120.0,115.5
18,1,4,1,106.0,106.0
17,1,4,1,121.0,120.3
17,1,4,1,150.0,130.8
39,0,1,1,120.0,117.0
1,1,6,1,114.0,110.2
39,0,1,2,140.0,155.7
39,1,1,4,160.0,180.4
17,1,1,1,120.0,125.5
39,0,1,1,130.0,110.0
42,1,1,1,160.0,161.0
39,1,1,1,120.0,100.0
17,1,1,1,124.0,117.6
1,1,6,1,143.0,128.7
43,1,2,1,115.0,112.2
39,1,1,1,133.1,100.8
17,1,2,1,133.1,105.0
15,1,1,1,133.1,100.0
39,1,1,10,133.1,115.5
39,0,1,1,133.1,114.0
15,1,1,1,130.0,137.0
1,1,5,1,135.0,124.9
1,1,5,1,132.0,120.3
1,1,1,1,135.0,134.3
1,1,4,1,115.0,111.5
53,1,1,42,130.0,128.8
1,1,4,1,133.1,110.0
39,0,1,1,130.0,113.5
39,1,1,12,133.1,160.0
18,1,1,1,123.0,117.4
51,1,1,1,130.0,122.2
1,1,2,1,122.0,118.2
1,1,1,1,113.0,106.7
1,1,5,1,111.0,108.2
17,1,2,1,133.1,107.0
1,1,1,1,142.0,136.1
17,1,2,1,123.0,115.3
1,1,1,1,131.0,139.8
1,1,3,1,158.0,157.0
17,1,2,1,122.0,131.0
43,1,1,1,130.0,100.0
17,1,1,1,154.0,140.4
17,1,1,1,120.0,113.4
1,1,2,1,140.0,137.0
1,1,1,1,127.0,121.8
17,1,1,1,133.1,131.0
1,1,2,1,120.0,118.6
1,1,1,1,137.0,122.3
1,1,1,1,131.0,127.9
1,1,1,1,130.0,121.3
17,1,6,1,122.0,117.1
44,1,1,39,160.0,160.0
1,1,1,1,146.0,145.3
17,1,3,1,131.0,122.6
17,1,6,1,132.0,128.0
1,1,3,1,138.0,124.9
17,1,2,1,130.0,123.7
1,1,4,1,126.0,120.1
17,1,6,1,148.0,131.7
43,1,1,1,130.0,133.2
1,1,1,1,117.0,109.3
17,1,1,1,120.0,113.0
1,1,1,1,153.0,157.9
1,1,2,1,117.0,112.1
18,1,1,1,178.0,174.7
1,1,5,1,129.0,128.8
1,1,6,1,116.0,110.1
51,1,1,1,99.0,99.7
1,1,3,1,135.0,121.0
1,1,3,1,141.0,131.7
17,1,5,1,132.0,119.1
1,1,4,1,132.0,124.7
17,1,1,1,113.0,117.2
1,1,1,1,134.0,128.8
1,1,1,1,136.0,131.5
1,1,1,1,136.0,121.7
1,1,1,1,129.0,123.4
17,1,1,1,138.0,124.7
1,1,1,1,137.0,132.8
43,1,1,1,115.0,108.7
1,1,1,1,129.0,138.1
1,1,1,1,131.0,126.5
17,1,2,1,133.0,127.4
1,1,3,1,125.0,123.6
39,0,1,1,120.0,122.0
1,1,1,1,128.0,118.2
1,1,1,1,127.0,123.9
1,1,2,1,134.0,125.8
17,1,5,1,132.0,123.3
17,1,2,1,124.0,124.4
17,1,1,1,133.1,126.0
39,1,1,1,170.0,170.0
17,1,3,1,125.0,121.5
39,1,1,3,130.0,130.0
43,1,1,1,125.0,117.0
39,1,1,1,130.0,130.0
17,1,2,1,133.1,108.0
17,1,1,1,131.0,132.3
42,0,1,1,150.0,148.0
17,1,2,1,125.0,122.6
1,1,1,1,131.0,123.0
39,1,1,1,130.0,102.5
1,1,2,1,123.0,113.3
1,1,5,1,141.0,133.0
7,1,1,3,140.0,140.0
43,1,1,1,140.0,128.3
44,0,1,39,140.0,140.0
39,1,1,19,133.1,104.0
18,1,3,1,131.0,122.3
17,1,2,1,143.0,135.0
18,1,2,1,132.0,119.1
43,1,1,1,143.0,126.6
17,1,3,1,141.0,129.0
39,1,1,1,133.1,162.3
17,1,4,1,148.0,163.4
1,1,1,1,125.0,121.5
1,0,1,1,120.0,122.8
39,1,1,1,140.0,118.0
51,1,1,1,139.0,134.0
1,1,4,1,142.0,129.8
39,0,1,40,130.0,152.0
18,1,6,1,126.0,122.8
7,1,1,3,150.0,150.0
1,1,1,1,130.0,131.8
39,1,1,1,120.0,105.9
1,1,1,1,138.0,132.1
1,1,4,1,127.0,127.4
1,1,4,1,140.0,129.5
44,1,1,39,130.0,126.7
17,1,2,1,128.0,116.5
1,1,1,1,132.0,119.1
1,1,2,1,149.0,126.5
1,1,4,1,155.0,149.8
1,1,1,1,120.0,115.1
39,1,1,19,133.1,124.5
1,1,2,1,131.0,128.3
1,1,1,1,149.0,136.0
43,1,1,1,140.0,140.0
39,0,1,1,133.1,126.3
43,1,1,1,122.0,126.9
39,1,1,40,130.0,145.0
18,1,1,1,121.0,115.8
39,0,1,1,120.0,100.0
39,0,1,1,133.1,102.5
17,1,1,1,121.0,131.5
1,1,1,1,133.0,147.0
1,1,4,1,134.0,122.5
1,1,3,1,115.0,117.5
51,1,1,1,127.0,150.0
18,1,1,1,135.0,127.5
7,0,1,43,140.0,140.0
7,1,1,3,130.0,130.0
1,1,1,1,135.0,133.3
39,1,2,1,140.0,97.0
43,1,1,1,120.0,112.0
1,1,2,1,140.0,123.6
39,1,1,3,133.1,130.5
1,1,2,1,135.0,133.3
1,1,1,1,123.0,132.1
1,1,1,1,133.1,100.0
1,1,1,1,154.0,140.4
1,1,1,1,148.0,141.7
17,1,2,1,133.0,119.7
1,1,1,1,126.0,122.5
39,1,1,19,133.1,140.0
1,1,3,1,125.0,119.4
16,1,1,1,145.0,155.0
1,1,2,1,118.0,119.1
39,1,1,1,120.0,122.7
1,1,1,1,127.0,117.9
7,1,1,3,130.0,130.0
17,1,3,1,129.0,120.0
44,1,1,39,130.0,130.0
1,1,3,1,121.0,116.8
1,1,1,1,136.0,123.4
1,1,3,1,125.0,125.4
1,1,3,1,131.0,127.2
1,1,1,1,122.0,103.4
1,1,1,1,127.0,123.2
17,1,1,1,136.0,124.1
39,1,1,19,133.1,99.5
17,0,1,40,127.0,124.9
17,1,3,1,116.0,110.8
1,1,1,1,121.0,118.9
43,1,1,1,124.0,118.8
1,1,1,1,131.0,137.0
39,0,1,1,100.0,100.0
43,1,1,1,130.0,120.0
1,1,1,1,135.0,122.8
1,1,1,1,130.0,121.6
1,1,2,1,146.0,149.2
17,1,4,1,146.0,140.0
1,1,2,1,154.0,133.4
1,1,1,1,137.0,126.2
1,1,5,1,151.0,127.8
44,1,1,39,150.0,150.0
1,1,2,1,121.0,113.7
17,1,1,1,122.0,117.8
1,1,1,1,143.0,136.7
1,1,1,1,152.0,144.7
17,1,3,1,145.0,139.8
42,1,1,1,120.0,113.7
7,1,1,3,140.0,140.0
1,1,1,1,143.0,142.3
1,1,1,1,129.0,119.6
16,1,2,1,139.0,123.7
1,0,1,1,133.1,143.0
51,0,1,1,127.0,100.1
1,1,1,1,126.0,119.4
1,0,1,1,128.0,122.1
39,1,1,12,100.0,100.0
17,1,1,1,123.0,113.9
39,0,1,15,170.0,101.0
18,0,2,1,117.0,111.8
39,1,1,1,140.0,140.0
17,1,4,1,123.0,124.4
44,1,1,39,150.0,150.0
44,1,1,39,140.0,140.0
17,1,4,1,123.0,116.0
1,1,1,1,130.0,135.6
1,1,1,1,137.0,121.0
17,1,2,1,126.0,118.7
1,1,1,1,125.0,125.7
17,1,4,1,112.0,107.1
1,1,1,1,141.0,125.5
17,1,4,1,135.0,127.0
1,1,2,1,117.0,113.5
1,1,1,1,160.0,154.4
51,1,1,1,136.0,122.0
17,1,2,1,143.0,128.0
1,1,1,1,119.0,115.5
17,1,4,1,120.0,117.2
39,1,1,3,150.0,150.0
1,1,3,1,142.0,155.3
44,1,1,39,120.0,120.0
51,1,1,1,160.0,116.1
17,1,1,1,133.1,118.9
17,1,2,1,142.0,127.3
17,1,4,1,121.0,113.7
51,1,1,1,135.0,118.5
1,1,1,1,153.0,146.7
1,1,1,1,140.0,124.3
1,1,1,1,152.0,137.8
1,1,1,1,120.0,130.2
17,1,1,1,160.0,147.8
7,1,1,40,150.0,150.0
42,1,1,1,100.0,100.0
1,1,1,1,150.0,155.6
43,1,4,1,124.0,117.4
5,1,3,1,141.0,128.8
1,1,1,1,121.0,117.5
43,1,1,6,134.0,120.4
1,1,1,1,134.0,130.9
1,1,1,1,132.0,125.0
1,1,1,1,135.0,136.8
1,1,1,1,123.0,121.6
44,1,1,39,151.0,151.0
1,1,1,1,107.0,103.5
1,0,1,1,126.0,119.4
1,1,1,1,133.0,134.4
44,1,1,39,140.0,143.0
7,1,1,40,110.0,110.0
1,1,4,1,141.0,132.5
17,1,1,1,122.0,114.7
17,1,1,1,156.0,166.9
1,1,1,1,129.0,125.9
1,1,1,1,188.0,178.3
39,0,1,1,120.0,117.0
39,1,1,3,130.0,150.0
42,1,1,1,130.0,130.0
1,1,1,1,140.0,135.1
43,1,1,1,110.0,110.0
39,0,1,1,133.1,136.2
39,1,1,1,120.0,116.0
1,0,2,1,96.0,100.0
1,1,1,1,117.0,116.3
43,1,1,1,123.0,134.0
1,1,4,1,127.0,124.2
1,1,1,1,151.0,134.5
1,1,1,1,127.0,120.7
17,1,1,1,133.0,127.1
39,1,1,19,133.1,133.0
39,0,1,1,133.1,128.2
39,1,1,1,133.1,130.0
39,1,1,43,160.0,172.0
17,1,4,1,140.0,128.5
1,1,1,1,146.0,128.5
17,1,4,1,112.0,112.0
53,1,1,42,140.0,142.5
1,1,4,1,136.0,133.0
1,1,1,1,133.1,106.0
1,1,4,1,136.0,125.5
17,1,1,1,134.0,131.2
1,1,1,1,122.0,112.9
1,1,6,1,138.0,124.8
43,0,1,1,160.0,140.9
39,0,1,1,130.0,148.0
17,1,1,1,161.0,148.4
39,0,1,1,140.0,129.7
39,1,1,19,133.1,128.2
51,0,1,19,133.1,104.0
18,1,4,1,130.0,119.9
1,1,1,1,152.0,141.0
17,1,1,1,125.0,116.6
44,1,1,39,140.0,140.0
39,1,1,19,133.1,140.0
43,1,1,1,170.0,100.0
1,1,1,1,135.0,121.0
1,1,1,1,125.0,117.0
53,1,1,42,140.0,140.2
1,1,1,1,124.0,129.3
1,1,1,1,140.0,145.3
39,0,1,3,130.0,146.2
17,1,1,1,134.0,122.5
44,0,1,39,160.0,156.1
44,1,1,39,140.0,140.0
39,1,1,1,150.0,140.0
1,1,6,1,141.0,128.4
17,1,2,1,120.0,115.0
17,1,2,1,166.0,158.7
1,1,4,1,147.0,124.5
51,1,1,1,121.0,111.9
44,1,1,39,150.0,150.0
17,1,1,1,124.0,114.2
17,1,1,1,96.0,96.0
17,1,4,1,125.0,128.9
17,1,1,1,136.0,121.7
1,1,1,1,120.0,114.8
1,1,1,1,128.0,127.0
17,1,1,1,142.0,131.3
1,1,1,1,135.0,137.1
7,1,1,40,120.0,120.0
39,0,1,40,140.0,139.0
17,1,1,1,135.0,129.1
39,1,1,1,133.1,128.2
1,1,2,1,137.0,120.8
39,1,1,3,122.0,135.8
1,1,3,1,128.0,118.9
7,0,1,40,140.0,140.0
1,1,1,1,132.0,127.1
1,1,1,1,131.0,137.0
1,1,1,1,126.0,127.4
1,1,1,1,133.1,97.0
1,1,4,1,136.0,126.3
1,1,4,1,140.0,127.5
1,1,1,1,135.0,126.6
42,0,1,1,160.0,120.0
44,1,1,39,140.0,140.0
1,1,6,1,140.0,131.5
17,1,6,1,115.0,112.2
1,1,1,1,144.0,150.5
1,1,4,1,128.0,121.0
17,1,1,1,116.0,112.2
1,1,2,1,135.0,129.4
17,1,1,1,121.0,114.4
1,1,3,1,134.0,120.3
39,0,1,1,120.0,120.0
17,1,2,1,125.0,114.5
1,1,1,1,141.0,127.8
1,1,1,1,140.0,124.6
1,1,6,1,144.0,130.3
17,1,1,1,122.0,118.2
1,1,1,1,130.0,118.8
1,1,5,1,133.1,133.0
39,1,1,19,133.1,129.0
43,1,1,1,147.0,100.0
43,1,1,1,127.0,120.7
17,1,6,1,136.0,132.5
1,1,5,1,127.0,120.3
17,1,1,1,123.0,114.6
1,1,1,1,128.0,116.5
1,1,1,1,128.0,127.8
1,1,2,1,140.0,129.9
1,1,2,1,121.0,118.9
1,1,3,1,122.0,114.3
18,1,1,1,126.0,114.8
1,1,4,1,135.0,123.0
1,1,2,1,131.0,122.1
17,1,4,1,140.0,123.7
1,1,3,1,131.0,132.4
39,0,1,1,130.0,114.8
7,1,1,3,130.0,130.0
43,1,1,1,140.0,122.3
39,1,1,1,130.0,152.4
17,1,1,1,125.0,120.1
1,1,1,1,160.0,155.1
51,1,1,1,130.0,124.5
17,1,1,1,144.0,126.9
39,1,1,19,133.1,153.2
17,1,1,1,148.0,129.8
43,0,1,1,133.1,135.0
1,1,1,1,133.0,131.3
43,1,6,1,129.0,125.2
1,1,5,1,144.0,141.3
17,1,1,1,120.0,117.1
17,1,3,1,144.0,126.5
1,1,1,1,132.0,120.1
1,1,1,1,142.0,128.4
1,1,2,1,136.0,140.0
39,1,1,9,133.1,110.0
1,1,1,1,122.0,116.8
1,1,2,1,133.1,104.5
7,1,1,3,140.0,140.0
1,1,1,1,117.0,113.2
17,1,1,1,128.0,118.6
1,1,1,1,136.0,123.8
18,1,6,1,141.0,126.7
1,1,3,1,130.0,133.8
44,1,1,39,140.0,140.0
1,1,3,1,102.0,100.6
17,1,1,1,126.0,132.7
43,1,2,1,125.0,106.6
39,1,1,1,120.0,140.4
17,1,3,1,132.0,128.3
1,1,3,1,128.0,118.6
1,1,1,1,115.0,123.4
1,1,1,1,125.0,124.0
1,1,6,1,137.0,121.3
1,1,1,1,101.0,101.0
1,1,1,1,126.0,116.9
7,1,3,3,130.0,130.0
39,1,1,19,100.0,120.0
17,1,1,1,122.0,130.4
17,1,1,1,126.0,118.7
17,1,1,1,128.0,131.5
17,1,3,1,134.0,120.4
17,1,2,1,128.0,129.1
1,1,1,1,125.0,132.0
7,1,2,3,130.0,130.0
1,1,2,1,135.0,132.8
39,1,1,19,133.1,143.7
39,1,1,1,140.0,152.8
1,1,2,1,138.0,133.5
1,1,1,1,150.0,146.2
1,1,2,1,125.0,115.2
1,1,2,1,121.0,120.7
39,0,1,1,120.0,101.8
39,1,2,1,140.0,100.0
39,0,1,1,100.0,121.9
18,0,2,1,140.0,120.4
18,1,2,1,140.0,120.4
39,1,1,1,120.0,148.8
17,1,2,1,138.0,123.0
39,0,1,19,133.1,100.0
17,1,2,1,118.0,112.1
1,1,6,1,135.0,126.8
17,1,1,1,130.0,115.9
15,1,1,1,150.0,132.5
18,1,3,1,149.0,132.2
1,1,1,1,180.0,183.5
43,1,1,1,133.1,136.0
39,1,1,19,133.1,100.9
39,1,1,1,145.0,114.5
39,1,1,1,110.0,110.3
1,1,1,1,154.0,137.2
17,1,1,1,126.0,116.9
17,1,1,1,133.0,121.8
1,1,2,1,145.0,127.3
44,1,1,39,120.0,120.0
44,1,1,39,150.0,150.0
43,0,1,1,150.0,100.0
39,1,1,1,150.0,150.0
17,1,1,1,127.0,116.9
44,1,1,39,140.0,140.0
18,1,3,1,128.0,122.1
39,1,1,1,127.0,160.0
1,1,1,1,117.0,118.4
44,1,1,39,150.0,150.0
1,1,1,1,154.0,144.9
17,1,2,1,127.0,121.1
1,1,2,1,133.0,121.8
39,1,1,40,120.0,146.8
1,1,1,1,133.1,138.0
1,1,1,1,149.0,138.0
17,1,2,1,125.0,116.3
1,1,5,1,126.0,122.5
39,1,1,19,133.1,115.0
43,1,1,1,115.0,115.0
17,1,3,1,117.0,119.8
17,1,2,1,133.1,95.0
44,1,1,39,150.0,150.0
17,1,1,1,130.0,117.8
1,1,1,1,161.0,144.2
44,1,1,39,130.0,130.0
42,1,1,1,111.0,128.2
53,1,1,42,140.0,135.3
1,1,1,1,132.0,143.9
39,0,1,1,139.0,140.7
1,1,1,1,132.0,130.4
1,1,6,6,119.0,123.2
39,1,1,1,133.1,118.0
39,1,1,19,133.1,120.0
17,1,4,1,129.0,118.9
17,1,1,1,128.0,117.2
39,1,1,1,120.0,120.0
1,0,1,1,130.0,118.1
1,1,1,1,130.0,124.8
17,1,6,1,111.0,106.5
1,1,6,1,121.0,116.8
43,1,4,1,117.0,109.3
39,1,1,9,133.1,120.0
1,1,2,1,149.0,137.5
39,0,2,1,172.0,150.0
1,1,1,1,134.0,120.4
1,1,4,1,136.0,136.7
39,0,1,1,133.1,118.5
17,1,5,1,141.0,133.0
17,1,1,1,141.0,128.8
1,1,1,1,148.0,133.0
17,1,1,1,102.0,102.0
1,1,1,1,143.0,133.9
17,1,1,1,120.0,127.0
17,1,1,1,121.0,120.4
1,1,3,1,122.0,124.5
1,1,4,1,122.0,123.9
1,1,2,1,123.0,117.8
1,1,1,1,133.0,126.7
44,1,1,39,110.0,110.0
17,1,1,1,155.0,134.7
17,1,1,1,119.0,113.2
39,0,1,3,120.0,141.0
17,1,1,1,133.1,111.5
39,1,1,1,143.0,140.0
17,1,1,1,149.0,134.3
17,1,1,1,133.0,125.3
7,1,1,3,140.0,140.0
17,1,5,1,122.0,119.6
7,1,1,40,170.0,170.0
39,0,1,1,120.0,150.5
1,1,1,1,143.0,128.0
1,1,3,1,115.0,108.7
17,1,1,1,123.0,121.6
1,1,6,1,131.0,125.3
17,1,1,1,127.0,117.6
43,1,3,1,126.0,124.3
1,1,2,1,112.0,106.1
1,0,1,1,150.0,139.9
1,1,1,1,116.0,110.8
17,1,3,1,118.0,118.0
1,1,1,1,130.0,117.8
1,1,6,1,144.0,127.5
17,1,2,3,105.0,129.7
17,1,1,1,143.0,130.6
17,1,2,1,137.0,126.3
44,1,1,39,140.0,140.0
1,1,1,1,133.1,105.0
17,1,2,1,116.0,114.6
17,1,5,1,117.0,114.6
17,1,1,1,137.0,131.0
17,1,4,1,116.0,109.0
1,1,1,1,133.1,132.0
44,0,1,39,130.0,130.0
1,1,3,1,106.0,109.5
17,1,2,1,125.0,115.9
1,1,1,1,134.0,131.6
39,1,1,1,133.1,120.0
1,1,2,1,117.0,109.7
1,1,1,1,136.0,136.4
39,1,1,1,120.0,120.0
1,1,1,1,135.0,132.6
17,1,5,1,122.0,112.9
1,1,5,1,147.0,134.3
39,0,1,1,120.0,123.2
17,1,3,1,121.0,117.2
18,1,1,1,135.0,129.8
39,1,1,1,130.0,158.0
1,1,6,1,128.0,116.5
1,1,1,1,129.0,121.0
1,1,3,1,143.0,133.8
1,1,2,1,108.0,115.0
1,1,1,1,130.0,131.8
1,1,1,1,135.0,121.0
39,0,1,3,140.0,152.4
43,1,2,1,120.0,110.2
1,1,1,1,117.0,113.5
17,1,1,1,151.0,144.4
53,1,1,42,140.0,143.3
39,1,1,19,133.1,100.0
44,1,1,39,130.0,126.3
1,1,1,1,125.0,115.9
1,1,4,1,125.0,114.9
1,1,1,1,135.0,121.0
51,0,1,1,121.0,112.3
43,1,1,1,141.0,127.0
39,1,1,1,130.0,120.0
44,1,1,39,180.0,180.0
1,1,1,1,117.0,117.4
17,1,4,1,127.0,115.8
1,1,3,1,126.0,136.5
17,1,3,1,143.0,129.0
1,1,1,1,144.0,137.6
17,1,2,1,126.0,129.5
51,1,1,39,140.0,129.1
17,1,5,1,148.0,130.2
42,1,1,1,100.0,134.3
1,1,1,1,151.0,138.4
42,0,1,1,120.0,120.0
1,1,4,1,135.0,123.5
1,1,2,1,121.0,116.1
1,1,1,1,116.0,110.8
17,1,1,1,147.0,142.8
17,1,4,1,160.0,155.5
1,1,1,1,133.0,126.7
39,1,1,19,100.0,163.5
1,1,1,1,151.0,161.9
17,1,2,1,124.0,123.3
44,1,1,39,140.0,137.5
18,1,4,1,170.0,166.6
39,1,1,19,133.1,103.5
39,1,1,19,133.1,110.0
43,0,1,1,100.0,128.2
39,1,1,39,120.0,137.7
17,1,3,1,133.0,128.8
39,0,1,1,120.0,170.0
39,1,2,19,133.1,116.4
39,1,1,19,133.1,100.9
43,1,1,1,133.1,136.0
1,1,1,1,140.0,130.0
39,1,1,1,100.0,100.0
39,1,1,19,133.1,157.0
1,1,1,1,143.0,152.1
1,0,1,1,165.0,162.9
1,1,1,1,154.0,137.2
44,1,1,39,140.0,140.0
43,1,1,1,140.0,146.5
44,1,1,39,130.0,130.0
39,1,1,19,133.1,128.0
7,1,1,4,190.0,190.0
39,0,1,1,120.0,133.2
39,1,1,12,100.0,124.3
39,0,1,1,120.0,138.1
39,0,1,1,133.1,144.3
39,1,1,1,150.0,140.0
39,1,1,1,120.0,148.3
39,0,1,1,133.1,96.0
39,0,1,19,133.1,121.7
39,1,1,1,100.0,160.0
39,1,1,1,133.1,110.3
1,1,1,1,143.0,129.0
39,1,1,1,120.0,150.0
43,0,1,1,161.0,100.0
39,1,1,9,133.1,107.5
39,1,1,1,140.0,170.0
42,0,1,6,123.0,123.0
43,1,1,1,142.0,138.5
43,1,1,19,133.1,140.0
1,1,1,1,115.0,113.6
1,1,1,1,156.0,170.0
39,0,1,1,140.0,115.5
7,1,3,3,130.0,130.0
7,1,1,3,140.0,140.0
51,1,1,1,140.0,126.6
39,0,1,1,133.1,143.2
1,1,2,1,131.0,131.4
43,1,1,1,141.0,133.3
1,1,1,1,120.0,118.3
44,1,1,39,140.0,140.0
